2023-03-14 14:02:54 status half-installed libsystemd0:amd64 252.5-2ubuntu1
2023-03-14 14:02:54 status unpacked libsystemd0:amd64 252.5-2ubuntu1
2023-03-14 14:02:54 install libtinfo6:amd64 <none> 6.4-2
2023-03-14 14:02:54 status half-installed libtinfo6:amd64 6.4-2
2023-03-14 14:02:54 status unpacked libtinfo6:amd64 6.4-2
2023-03-14 14:02:54 install libudev1:amd64 <none> 252.5-2ubuntu1
2023-03-14 14:02:54 status half-installed libudev1:amd64 252.5-2ubuntu1
2023-03-14 14:02:54 status unpacked libudev1:amd64 252.5-2ubuntu1
2023-03-14 14:02:54 install libuuid1:amd64 <none> 2.38.1-4ubuntu1
2023-03-14 14:02:54 status half-installed libuuid1:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:54 status unpacked libuuid1:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:54 install libzstd1:amd64 <none> 1.5.2+dfsg2-3
2023-03-14 14:02:54 status half-installed libzstd1:amd64 1.5.2+dfsg2-3
2023-03-14 14:02:54 status unpacked libzstd1:amd64 1.5.2+dfsg2-3
2023-03-14 14:02:54 install login:amd64 <none> 1:4.13+dfsg1-1ubuntu1
2023-03-14 14:02:54 status half-installed login:amd64 1:4.13+dfsg1-1ubuntu1
2023-03-14 14:02:54 status unpacked login:amd64 1:4.13+dfsg1-1ubuntu1
2023-03-14 14:02:54 install logsave:amd64 <none> 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:54 status half-installed logsave:amd64 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:54 status unpacked logsave:amd64 1.46.6~rc1-1ubuntu1
2023-03-14 14:02:54 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-03-14 14:02:54 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:54 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:54 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:54 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:54 install mount:amd64 <none> 2.38.1-4ubuntu1
2023-03-14 14:02:54 status half-installed mount:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:54 status unpacked mount:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:54 install ncurses-base:all <none> 6.4-2
2023-03-14 14:02:54 status half-installed ncurses-base:all 6.4-2
2023-03-14 14:02:54 status unpacked ncurses-base:all 6.4-2
2023-03-14 14:02:54 install ncurses-bin:amd64 <none> 6.4-2
2023-03-14 14:02:54 status half-installed ncurses-bin:amd64 6.4-2
2023-03-14 14:02:54 status unpacked ncurses-bin:amd64 6.4-2
2023-03-14 14:02:54 install passwd:amd64 <none> 1:4.13+dfsg1-1ubuntu1
2023-03-14 14:02:54 status half-installed passwd:amd64 1:4.13+dfsg1-1ubuntu1
2023-03-14 14:02:54 status unpacked passwd:amd64 1:4.13+dfsg1-1ubuntu1
2023-03-14 14:02:54 upgrade perl-base:amd64 5.36.0-7 5.36.0-7
2023-03-14 14:02:54 status half-configured perl-base:amd64 5.36.0-7
2023-03-14 14:02:54 status unpacked perl-base:amd64 5.36.0-7
2023-03-14 14:02:54 status half-installed perl-base:amd64 5.36.0-7
2023-03-14 14:02:55 status unpacked perl-base:amd64 5.36.0-7
2023-03-14 14:02:55 install procps:amd64 <none> 2:4.0.3-1ubuntu1
2023-03-14 14:02:55 status half-installed procps:amd64 2:4.0.3-1ubuntu1
2023-03-14 14:02:55 status unpacked procps:amd64 2:4.0.3-1ubuntu1
2023-03-14 14:02:55 install sed:amd64 <none> 4.9-1
2023-03-14 14:02:55 status half-installed sed:amd64 4.9-1
2023-03-14 14:02:55 status unpacked sed:amd64 4.9-1
2023-03-14 14:02:55 install sensible-utils:all <none> 0.0.17+nmu1
2023-03-14 14:02:55 status half-installed sensible-utils:all 0.0.17+nmu1
2023-03-14 14:02:55 status unpacked sensible-utils:all 0.0.17+nmu1
2023-03-14 14:02:55 install sysvinit-utils:amd64 <none> 3.05-7ubuntu2
2023-03-14 14:02:55 status half-installed sysvinit-utils:amd64 3.05-7ubuntu2
2023-03-14 14:02:55 status unpacked sysvinit-utils:amd64 3.05-7ubuntu2
2023-03-14 14:02:55 install tar:amd64 <none> 1.34+dfsg-1.1
2023-03-14 14:02:55 status half-installed tar:amd64 1.34+dfsg-1.1
2023-03-14 14:02:55 status unpacked tar:amd64 1.34+dfsg-1.1
2023-03-14 14:02:55 install usrmerge:all <none> 33ubuntu1
2023-03-14 14:02:55 status half-installed usrmerge:all 33ubuntu1
2023-03-14 14:02:55 status unpacked usrmerge:all 33ubuntu1
2023-03-14 14:02:55 install util-linux:amd64 <none> 2.38.1-4ubuntu1
2023-03-14 14:02:55 status half-installed util-linux:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:55 status unpacked util-linux:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:55 install util-linux-extra:amd64 <none> 2.38.1-4ubuntu1
2023-03-14 14:02:55 status half-installed util-linux-extra:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:55 status unpacked util-linux-extra:amd64 2.38.1-4ubuntu1
2023-03-14 14:02:55 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1ubuntu4
2023-03-14 14:02:55 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1ubuntu4
2023-03-14 14:02:55 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1ubuntu4
2023-03-14 14:02:55 startup packages configure
2023-03-14 14:02:55 configure libaudit-common:all 1:3.0.9-1 <none>
2023-03-14 14:02:55 status unpacked libaudit-common:all 1:3.0.9-1
2023-03-14 14:02:55 status half-configured libaudit-common:all 1:3.0.9-1
2023-03-14 14:02:55 status installed libaudit-common:all 1:3.0.9-1
2023-03-14 14:02:55 configure libsemanage-common:all 3.4-1build4 <none>
2023-03-14 14:02:55 status unpacked libsemanage-common:all 3.4-1build4
2023-03-14 14:02:55 status half-configured libsemanage-common:all 3.4-1build4
2023-03-14 14:02:55 status installed libsemanage-common:all 3.4-1build4
2023-03-14 14:02:55 configure debconf:all 1.5.82 <none>
2023-03-14 14:02:55 status unpacked debconf:all 1.5.82
2023-03-14 14:02:55 status half-configured debconf:all 1.5.82
2023-03-14 14:02:55 status installed debconf:all 1.5.82
2023-03-14 14:02:55 configure ncurses-base:all 6.4-2 <none>
2023-03-14 14:02:55 status unpacked ncurses-base:all 6.4-2
2023-03-14 14:02:55 status half-configured ncurses-base:all 6.4-2
2023-03-14 14:02:55 status installed ncurses-base:all 6.4-2
2023-03-14 14:02:55 configure gcc-13-base:amd64 13-20230305-1ubuntu1 <none>
2023-03-14 14:02:55 status unpacked gcc-13-base:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:55 status half-configured gcc-13-base:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:55 status installed gcc-13-base:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:55 configure sensible-utils:all 0.0.17+nmu1 <none>
2023-03-14 14:02:55 status unpacked sensible-utils:all 0.0.17+nmu1
2023-03-14 14:02:55 status half-configured sensible-utils:all 0.0.17+nmu1
2023-03-14 14:02:55 status installed sensible-utils:all 0.0.17+nmu1
2023-03-14 14:02:55 configure libcrypt1:amd64 1:4.4.33-2 <none>
2023-03-14 14:02:55 status unpacked libcrypt1:amd64 1:4.4.33-2
2023-03-14 14:02:55 status half-configured libcrypt1:amd64 1:4.4.33-2
2023-03-14 14:02:55 status installed libcrypt1:amd64 1:4.4.33-2
2023-03-14 14:02:55 configure libgcc-s1:amd64 13-20230305-1ubuntu1 <none>
2023-03-14 14:02:55 status unpacked libgcc-s1:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:55 status half-configured libgcc-s1:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:55 status installed libgcc-s1:amd64 13-20230305-1ubuntu1
2023-03-14 14:02:55 configure libc6:amd64 2.37-0ubuntu1 <none>
2023-03-14 14:02:55 status unpacked libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:55 status half-configured libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:55 status installed libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:55 configure libudev1:amd64 252.5-2ubuntu1 <none>
2023-03-14 14:02:55 status unpacked libudev1:amd64 252.5-2ubuntu1
2023-03-14 14:02:55 status half-configured libudev1:amd64 252.5-2ubuntu1
2023-03-14 14:02:55 status installed libudev1:amd64 252.5-2ubuntu1
2023-03-14 14:02:55 configure libmd0:amd64 1.0.4-2 <none>
2023-03-14 14:02:55 status unpacked libmd0:amd64 1.0.4-2
2023-03-14 14:02:55 status half-configured libmd0:amd64 1.0.4-2
2023-03-14 14:02:55 status installed libmd0:amd64 1.0.4-2
2023-03-14 14:02:55 configure libattr1:amd64 1:2.5.1-4 <none>
2023-03-14 14:02:55 status unpacked libattr1:amd64 1:2.5.1-4
2023-03-14 14:02:55 status half-configured libattr1:amd64 1:2.5.1-4
2023-03-14 14:02:55 status installed libattr1:amd64 1:2.5.1-4
2023-03-14 14:02:55 configure sysvinit-utils:amd64 3.05-7ubuntu2 <none>
2023-03-14 14:02:55 status unpacked sysvinit-utils:amd64 3.05-7ubuntu2
2023-03-14 14:02:55 status half-configured sysvinit-utils:amd64 3.05-7ubuntu2
2023-03-14 14:02:55 status installed sysvinit-utils:amd64 3.05-7ubuntu2
2023-03-14 14:02:55 configure debianutils:amd64 5.7-0.4 <none>
2023-03-14 14:02:55 status unpacked debianutils:amd64 5.7-0.4
2023-03-14 14:02:55 status half-configured debianutils:amd64 5.7-0.4
2023-03-14 14:02:55 status installed debianutils:amd64 5.7-0.4
2023-03-14 14:02:55 configure mawk:amd64 1.3.4.20200120-3.1 <none>
2023-03-14 14:02:55 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:55 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:55 status installed mawk:amd64 1.3.4.20200120-3.1
